"Source:","/Users/iandownie/Documents/Buoy/Buoy.kicad_sch"
"Date:","2024 February 13, Tuesday 15:01:56"
"Tool:","Eeschema 7.0.6-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","111"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","220pF","C","Capacitor_SMD:C_0201_0603Metric","Unpolarized capacitor","",""
"C2, C21","2","100n","C","","Unpolarized capacitor","",""
"C3, C4, C11","3","C","C","","Unpolarized capacitor","",""
"C5, C10","2","1.0uF","C","","Unpolarized capacitor","",""
"C6, C12, C14","3","0.1uF","C","","Unpolarized capacitor","",""
"C7","1","2u","C","","Unpolarized capacitor","",""
"C8","1","5u","C","","Unpolarized capacitor","",""
"C9","1","10nF","C","","Unpolarized capacitor","",""
"C13","1","4.7n","C","","Unpolarized capacitor","",""
"C15","1","22pF","C","","Unpolarized capacitor","",""
"C16, C17","2","1uF","C","","Unpolarized capacitor","",""
"C16(C3ondatasheet)1","1","1uF","C","","Unpolarized capacitor","",""
"C18","1","1nF","C","","Unpolarized capacitor","",""
"C19","1","100nF","C","","Unpolarized capacitor","",""
"C20","1","220p","C","","Unpolarized capacitor","",""
"C22","1","4.7u","C","","Unpolarized capacitor","",""
"C23","1","120p","C","","Unpolarized capacitor","",""
"C24","1","22u","C","","Unpolarized capacitor","",""
"C25, C26","2","10u","C","","Unpolarized capacitor","",""
"D1, D5","2","PDS1040L-13","PDS1040L-13","PDS1040L-13:DIO_PDS1040L-13","","",""
"D2","1","yellow","LED","","Light emitting diode","",""
"D3","1","green","LED","","Light emitting diode","",""
"D4","1","LED","LED","","Light emitting diode","",""
"J1, J2, J3, J4, J5, J6","6","Barrel_Jack","Barrel_Jack","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","DC Barrel Jack","",""
"L1","1","15u","L","","Inductor","",""
"L2","1","0.47u","L","","Inductor","",""
"Q1, Q2, Q6, Q8","4","AO3401A","AO3401A","Package_TO_SOT_SMD:SOT-23","-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23","",""
"Q3, Q7","2","BSS138","BSS138","Package_TO_SOT_SMD:SOT-23","50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23","",""
"Q4","1","Q_Dual_NMOS_G1S2G2D2S1D1","Q_Dual_NMOS_G1S2G2D2S1D1","","Dual NMOS transistor, 6 pin package","",""
"Q5","1","2N7002","2N7002","Package_TO_SOT_SMD:SOT-23","0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23","",""
"R1, R10, R27","3","0","R_US","","Resistor, US symbol","",""
"R2, R23","2","220k","R_US","","Resistor, US symbol","",""
"R3, R26","2","22k","R_US","","Resistor, US symbol","",""
"R4, R13, R15, R25","4","10k","R_US","","Resistor, US symbol","",""
"R5","1","2.2","R_US","","Resistor, US symbol","",""
"R6","1","120k","R_US","","Resistor, US symbol","",""
"R6_SR1","1","40 m","R_US","","Resistor, US symbol","",""
"R7","1","30k","R_US","","Resistor, US symbol","",""
"R8","1","200k","R_US","","Resistor, US symbol","",""
"R9, R11, R12, R29","4","100k","R_US","","Resistor, US symbol","",""
"R14","1","0.1","R_US","","Resistor, US symbol","",""
"R16","1","33k","R_US","","Resistor, US symbol","",""
"R17, R18, R19, R20, R21","5","1k","R_US","","Resistor, US symbol","",""
"R22, R24","2","R_US","R_US","","Resistor, US symbol","",""
"R28","1","460k","R_US","","Resistor, US symbol","",""
"R30, R31","2","10","R_US","","Resistor, US symbol","",""
"RT9","1","6.6k","R_US","","Resistor, US symbol","",""
"RT12","1","55k","R_US","","Resistor, US symbol","",""
"SW1","1","SW_Push_DPDT","SW_Push_DPDT","","Momentary Switch, dual pole double throw","",""
"SW2","1","SW_Reed_Opener","SW_Reed_Opener","","reed switch, default-closed","",""
"TH1","1","AT103-ANTC","Thermistor_US","","Thermistor, temperature dependent resistor, US symbol","",""
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20","20","TestPoint","TestPoint","","test point","",""
"U1","1","LM324","LM324","","Low-Power, Quad-Operational Amplifiers, DIP-14/SOIC-14/SSOP-14","",""
"U2","1","BQ24650RVAT","BQ24650RVAT","BQ24650RVAT:QFN50P350X350X100-17N","","",""
"U3","1","INA138","INA138","Package_TO_SOT_SMD:SOT-23-5","High-Side Measurement Current Shunt Monitor, 36V, SOT-23-5","",""
"U4","1","SN74LVC1G74DCTR","SN74LVC1G74DCTR","SN74LVC1G74DCTR:SOP65P400X130-8N","","",""
"U5","1","TPS62822DLC","TPS62822DLC","Package_DFN_QFN:Texas_VSON-HR-8_1.5x2mm_P0.5mm","2A Step-Down Converter with DCS-Control, adjustable output, 2.4-5.5V input voltage, QFN-8","",""
"U6","1","AP2112K-3.3","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5","",""
